x1[u meter],x2[u meter],A,alfa,D,D.C,frequency[Hz],velocity[cm\s]
0.8,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.169116119
0.8,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.202785726
0.8,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.214009518
0.8,0.4,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.300465185
0.8,0.5,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.438916159
0.8,0.6,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.470596585
0.8,0.7,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.458043245
0.8,0.8,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.41490945
0.8,0.9,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,unstable
0.9,0.1,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.311354199
0.9,0.2,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.39477942
0.9,0.3,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.427002485
0.9,0.4,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.500049614
0.9,0.5,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.591153555
0.9,0.6,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.722196173
0.9,0.7,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.753796233
0.9,0.8,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.658697508
0.9,0.9,0.5,-0.333333333,{'10^-5': 2e-05},0.35,200000,-0.529721397
0.1,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.274055323
0.1,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.019291014
0.1,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.132951239
0.1,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.159977772
0.1,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.105098854
0.1,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.156157483
0.1,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.169507404
0.1,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.328445714
0.1,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.53538448
0.2,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.607765662
0.2,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.340835587
0.2,0.3,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.029985073
0.2,0.4,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.116212508
0.2,0.5,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.149753285
0.2,0.6,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.143951901
0.2,0.7,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.230576958
0.2,0.8,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.320924724
0.2,0.9,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,0.472847777
0.3,0.1,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.65381763
0.3,0.2,0.5,-0.666666667,{'10^-5': 2e-05},0.35,200000,-0.485451388
